date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20,recoverable_by_true20,gap_to_best
2022-04-25,2716,2715,SZ000692,-0.2134439,0.0002599000000000906,0.22004205,0.22004205,0.43348595,-0.11203426166666665,-0.1115494902,0.004642725439627759,0.00037633725059871016,7.9069047022237315,0,0,0,0,0,0,0,0.43348595
2022-08-29,2756,2756,SZ000593,-0.20238256,0.005487649999999955,0.17931497,0.17931497,0.38169752999999995,-0.060234983933333326,-0.05662063956,0.003417573085438327,0.0003728023991957016,7.921529775486938,0,0,0,0,0,0,0,0.38169752999999995
2022-04-06,2740,2739,SZ002864,-0.18915343,0.0008683600000000125,0.20482604,0.20482604,0.39397947,-0.12613714233333334,-0.08860433820000001,0.0035432532107805862,0.0003740309260783355,7.915706900540876,0,0,0,1,1,2,0,0.39397947
2022-03-30,2733,2729,SH600090,-0.187251,0.007344700000000093,0.19949415,0.19949415,0.38674515,-0.049862268666666675,-0.0393022198,0.0034195050981221625,0.0003755043950783253,7.913149321334348,0,0,0,0,3,3,0,0.38674515
2022-03-15,2740,2738,SH600198,-0.1827957,0.0072993000000000086,0.2416503,0.2416503,0.424446,0.014665229999999996,0.030524284199999994,0.0034720094141409545,0.00037482156054906236,7.915707157778045,0,0,1,2,1,3,0,0.424446
2022-03-07,2723,2721,SZ002800,-0.17527103,0.006254900000000063,0.2095186,0.2095186,0.38478963,-0.098370794,-0.06982723440000001,0.003337662008369008,0.0003770894557053537,7.909483902399642,0,0,0,0,0,0,0,0.38478963
2022-11-11,2697,2697,SH605001,-0.16676885,0.0008507999999999294,0.2338413,0.2338413,0.40061015,-0.016919785000000003,-0.0208241058,0.0032072321764850336,0.00038105021562534437,7.899890158267143,0,0,1,1,2,3,0,0.40061015
2022-01-17,2818,2816,SZ002898,-0.16374269,0.0004465999999999637,0.19672132,0.19672132,0.36046401,-0.09446377066666665,-0.0816350038,0.0037167622031664704,0.0003622632421815363,7.943775762947218,0,0,0,0,1,1,0,0.36046401
2022-10-20,2632,2628,SZ000509,-0.16272558,0.00012588999999996187,0.19642115,0.19642115,0.35914672999999997,-0.002582599333333343,-0.025845845200000005,0.0034624471246876777,0.0003891287654364472,7.87549327701603,0,0,1,1,2,3,0,0.35914672999999997
2022-07-26,2756,2754,SZ000889,-0.15419501,0.0022095500000000046,0.237691,0.237691,0.39188601,-0.06588534333333333,-0.013961021999999995,0.0034162357514270695,0.0003704423472319702,7.921529780283903,0,0,0,0,1,1,0,0.39188601
