strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
timesnet+timemixer::selector::top1_gap,timesnet+timemixer,2,selector,top1_gap,base,2340,0.01789798606002369,34.69644248656372,0.87688083756753,0.017020780068015478,3.699358153946128,0.8344841963991281,964,1375,3.299145299145299,5.361111111111111
timesnet+patchtst::selector::top1_gap,timesnet+patchtst,2,selector,top1_gap,base,2340,0.017627975924079234,12.090907378835654,0.8613448782690093,0.01675784632682906,0.7342868588210567,0.8190599666612365,961,1378,3.2888888888888888,5.344444444444444
tsmixer+itransformer::gated::gated_q50_left,tsmixer+itransformer,2,gated,gated_q50_left,base,2340,0.01782786548519242,1380.6830492587585,0.89476385124891,0.016411202116727103,50.88535090642486,0.8242176997807571,1561,778,5.34017094017094,8.677777777777777
tsmixer+patchtst::gated::gated_q50_left,tsmixer+patchtst,2,gated,gated_q50_left,base,2340,0.017308695712071196,114.18939699336642,0.8651230470801468,0.016079754670539324,5.640547445185701,0.8039007391400926,1357,982,4.642735042735043,7.544444444444444
timesnet+patchtst::gated::gated_q50_left,timesnet+patchtst,2,gated,gated_q50_left,base,2340,0.016903581960050346,2.2171056989208964,0.8274231480711934,0.015882898179277734,-0.6961214627408303,0.7780082027663714,1122,1217,3.8393162393162394,6.238888888888889
tsmixer+timesnet+patchtst::combo::zscore_mean,tsmixer+timesnet+patchtst,3,combo,zscore_mean,base,2340,0.016554982811139207,28.39990440069182,0.8269978606315076,0.015198434677470313,0.26294323621506077,0.7597313902288582,1497,842,5.121367521367521,8.322222222222223
timesnet+timemixer::gated::gated_q50_right,timesnet+timemixer,2,gated,gated_q50_right,base,2340,0.01569083576765092,0.8287120529223839,0.7775931427433295,0.014921580351172047,-0.6921605085749576,0.739967646073403,847,1492,2.899145299145299,4.711111111111111
timesnet+itransformer::selector::top1_gap,timesnet+itransformer,2,selector,top1_gap,base,2340,0.015595941814076343,26.53067206121801,0.826885668319157,0.014570159857300069,1.5517539026302827,0.7729655655566687,1131,1208,3.87008547008547,6.288888888888889
timesnet+timemixer+patchtst::combo::mean,timesnet+timemixer+patchtst,3,combo,mean,base,2340,0.01493194371398869,-0.8743257689606314,0.7433748851447866,0.01424580988890147,-0.9745476773011095,0.7093941400906567,759,1580,2.5982905982905984,4.222222222222222
tsmixer+patchtst::selector::top1_gap,tsmixer+patchtst,2,selector,top1_gap,base,2340,0.014887596199567433,-0.8236059253059772,0.7406027314469638,0.014159043260722204,-0.9673617689755181,0.7045937457857814,802,1537,2.7452991452991453,4.461111111111111
timesnet+patchtst::gated::gated_q50_right,timesnet+patchtst,2,gated,gated_q50_right,base,2340,0.014914876377435313,-0.9336820433195205,0.73314894070622,0.014155238506283752,-0.9886946167132648,0.6960030818899591,841,1498,2.8786324786324786,4.677777777777778
tsmixer+timemixer::selector::top1_gap,tsmixer+timemixer,2,selector,top1_gap,base,2340,0.014838447076532221,0.3675022121217575,0.7521898956385374,0.014081736550639249,-0.7629268393675137,0.7142996875175769,833,1506,2.8512820512820514,4.633333333333334
tsmixer+timesnet+patchtst::combo::mean,tsmixer+timesnet+patchtst,3,combo,mean,base,2340,0.014923092961800407,5.531890623561393,0.7977499108186605,0.0140469308322131,-0.14728792338500651,0.7510065063523343,968,1371,3.312820512820513,5.383333333333334
timesnet+timemixer+patchtst::combo::zscore_mean,timesnet+timemixer+patchtst,3,combo,zscore_mean,base,2340,0.014705631605315517,-0.928806043261858,0.7320933159246246,0.014026398988937313,-0.9853677205132629,0.6984517657016374,752,1587,2.5743589743589745,4.183333333333334
tsmixer+itransformer::selector::top1_gap,tsmixer+itransformer,2,selector,top1_gap,base,2340,0.014922758333406857,0.3045862668209083,0.7550582312536949,0.013833107822285503,-0.8967106795793232,0.7000848870580046,1206,1133,4.126495726495727,6.705555555555556
tsmixer+itransformer+patchtst::combo::zscore_mean,tsmixer+itransformer+patchtst,3,combo,zscore_mean,base,2340,0.015176648885004538,1.3357679929740867,0.7662304549299135,0.013804079876552149,-0.9043952331527125,0.69707866217525,1520,819,5.2,8.45
timemixer+itransformer::selector::top1_gap,timemixer+itransformer,2,selector,top1_gap,base,2340,0.014532622929827326,0.2247194696423751,0.739934547623195,0.013797817344677372,-0.7790322240360145,0.7026717359725974,814,1525,2.786324786324786,4.527777777777778
